Amsterdamse code,CBS code,Naam,# geldige stemmen,# ongeldige/blanco stemmen,Percentage ongeldige/blanco stemmen,# kiesgerechtigden,Opkomst,Opkomstpercentage,CDA,PvdA,VVD,SP,LPF,GL,D66,CU,SGP,PvdD,LN,Partij van de Toekomst,Lijst Ratelband,Duurzaam Nederland,Nieuwe Communistische Partij,De Conservatieven.nl,VIP Vooruitstrevende Integratie Partij,Alliantie Vernieuwing en Democratie,Lijst Veldhoen
10451,693,Graafstroom,6121,3,"0,05 %",6790,6124,"90,19 %",2653,699,729,136,179,109,74,514,984,17,14,4,3,0,0,4,0,0,2
11417,365,Graft-De Rijp,4197,0,"0,00 %",4714,4197,"89,03 %",1248,946,1048,258,203,201,218,8,3,34,22,4,1,0,1,0,0,2,0
10165,786,Grave,7735,5,"0,06 %",9333,7740,"82,93 %",2715,1697,1432,749,393,357,274,30,4,40,20,10,8,1,3,1,0,1,0
11094,240,Groenlo,6089,6,"0,10 %",7370,6095,"82,70 %",2919,1442,798,356,179,176,145,11,6,21,19,13,4,0,0,0,0,0,0
10616,241,Groesbeek,11950,6,"0,05 %",14742,11956,"81,10 %",3969,3949,1439,930,566,610,342,32,6,31,41,25,4,4,2,0,0,0,0
10426,14,Groningen,117155,124,"0,11 %",144046,117279,"81,42 %",15363,45615,16208,12031,3194,11850,7134,4349,192,542,273,110,88,21,174,0,0,11,0
11080,15,Grootegast,7296,4,"0,05 %",8785,7300,"83,10 %",3349,1568,727,307,263,200,137,609,70,29,18,7,6,1,4,0,0,1,0
11032,1729,Gulpen-Wittem,9734,9,"0,09 %",11730,9743,"83,06 %",4621,2295,1074,502,464,413,238,30,4,37,32,9,7,1,2,5,0,0,0
11435,158,Haaksbergen,15490,19,"0,12 %",18244,15509,"85,01 %",7341,3424,2475,616,550,453,479,59,7,0,40,25,9,0,6,6,0,0,0
11155,788,Haaren,8561,6,"0,07 %",10447,8567,"82,00 %",4000,1554,1517,426,333,321,284,27,4,21,38,18,8,0,5,5,0,0,0
10357,392,Haarlem,87797,91,"0,10 %",112100,87888,"78,40 %",16298,27428,16344,7229,4886,7257,5702,976,128,785,350,123,113,72,58,32,0,16,0
10508,393,Haarlemmerliede en Spaarnwoude,3542,4,"0,11 %",4096,3546,"86,57 %",1057,691,912,174,226,177,236,21,4,22,11,3,4,0,2,2,0,0,0
11387,394,Haarlemmermeer,73990,68,"0,09 %",89689,74058,"82,57 %",20218,15273,20617,3367,4868,3328,3670,1093,499,424,367,86,73,18,37,31,0,21,0
10321,914,Haelen,6004,11,"0,18 %",7730,6015,"77,81 %",2560,1267,1032,301,310,211,222,8,4,50,24,10,2,2,0,1,0,0,0
10397,1655,Halderberge,17374,16,"0,09 %",22665,17390,"76,73 %",6117,4170,3393,1009,1305,544,529,75,11,62,81,39,19,6,3,7,0,4,0
10174,160,Hardenberg,36667,18,"0,05 %",42453,36685,"86,41 %",15805,8465,3884,1277,1205,882,642,3941,367,0,119,49,20,0,8,3,0,0,0
10786,243,Harderwijk,24812,16,"0,06 %",29766,24828,"83,41 %",9724,4412,4412,980,1084,1087,767,1547,523,83,85,30,19,45,6,6,0,2,0
10167,523,Hardinxveld-Giessendam,11477,8,"0,07 %",13036,11485,"88,10 %",3782,2096,1272,297,502,161,147,1318,1822,32,28,7,4,2,3,3,0,1,0
11058,17,Haren,13023,6,"0,05 %",14451,13029,"90,16 %",3075,3656,3050,484,328,875,897,544,49,34,15,5,6,0,4,0,0,1,0
10963,395,Harenkarspel,9820,3,"0,03 %",11638,9823,"84,40 %",3405,2074,2197,491,534,490,451,49,3,49,51,16,4,2,4,0,0,0,0
10909,72,Harlingen,9383,5,"0,05 %",11638,9388,"80,67 %",2254,3511,1369,654,431,460,281,280,8,38,63,14,12,2,5,0,0,1,0
10673,244,Hattem,7875,5,"0,06 %",8892,7880,"88,62 %",2692,2161,1043,228,186,209,221,984,92,29,19,8,1,0,1,1,0,0,0
11208,1937,Heel,4775,10,"0,21 %",6393,4785,"74,85 %",2007,1085,809,286,212,139,162,3,2,40,24,4,0,1,1,0,0,0,0
10679,396,Heemskerk,21608,17,"0,08 %",26772,21625,"80,77 %",6176,6046,3993,1292,1399,1287,873,183,28,121,125,26,25,13,14,4,0,3,0
11288,397,Heemstede,17212,10,"0,06 %",19462,17222,"88,49 %",4479,3152,5551,713,660,965,1376,131,20,95,38,10,15,0,3,2,0,2,0
10291,246,Heerde,11983,6,"0,05 %",13843,11989,"86,61 %",4846,3213,1412,324,391,261,234,915,277,59,26,18,0,0,3,1,0,3,0
10680,74,Heerenveen,25936,24,"0,09 %",32183,25960,"80,66 %",5602,10677,4008,1610,892,1177,885,688,33,107,169,35,22,1,23,0,0,7,0
10752,398,Heerhugowaard,27622,26,"0,09 %",34371,27648,"80,44 %",7536,7345,6245,1518,1510,1425,1246,326,22,144,203,46,21,15,13,0,0,7,0
10902,917,Heerlen,49681,53,"0,11 %",72495,49734,"68,60 %",13886,15369,5385,7162,3046,2334,1358,280,45,325,283,79,65,10,23,31,0,0,0
10462,1658,Heeze-Leende,9889,10,"0,10 %",11667,9899,"84,85 %",4307,1846,1936,503,423,319,403,12,7,25,66,35,4,0,2,0,0,1,0
10793,399,Heiloo,14880,17,"0,11 %",16932,14897,"87,98 %",4205,3439,3817,670,653,872,918,106,5,72,49,16,21,3,30,0,0,4,0
10205,918,Helden,11373,7,"0,06 %",14461,11380,"78,69 %",5664,2009,1701,598,564,426,253,21,4,44,64,14,3,1,1,6,0,0,0
10806,163,Hellendoorn,24042,16,"0,07 %",27610,24058,"87,14 %",13019,4730,2490,874,724,693,493,808,93,0,68,31,6,0,6,7,0,0,0
11078,530,Hellevoetsluis,22502,59,"0,26 %",29525,22561,"76,41 %",4032,6318,5775,1309,2553,919,853,250,82,161,144,26,38,4,10,13,3,3,9
10932,794,Helmond,44289,64,"0,14 %",61131,44353,"72,55 %",12194,12457,7909,4348,3354,1674,1362,201,13,260,256,138,50,9,28,20,6,10,0
10416,531,Hendrik Ido Ambacht,13581,6,"0,04 %",15831,13587,"85,83 %",3912,2724,2563,428,967,309,417,453,1651,70,52,6,14,2,3,7,0,0,3
10907,164,Hengelo (O),50274,65,"0,13 %",60915,50339,"82,64 %",15225,15446,7930,3905,1826,2590,2104,876,47,0,172,76,38,0,16,23,0,0,0
10359,248,Hengelo Gld,5548,9,"0,16 %",6534,5557,"85,05 %",2700,1320,804,170,222,116,126,30,4,15,19,20,2,0,0,0,0,0,0
10128,63,het Bildt,6557,4,"0,06 %",7965,6561,"82,37 %",2390,2056,767,453,306,235,121,119,10,40,35,6,14,0,5,0,0,0,0
10600,252,Heumen,10626,14,"0,13 %",12176,10640,"87,39 %",3672,2623,1944,625,379,707,551,23,2,41,40,13,4,0,2,0,0,0,0
10307,797,Heusden,25871,20,"0,08 %",31989,25891,"80,94 %",9443,5865,4824,1859,1479,927,947,125,50,83,126,84,29,11,5,4,4,6,0
10840,920,Heythuysen,7201,12,"0,17 %",9034,7213,"79,84 %",3551,1236,1114,377,352,239,224,25,2,43,25,7,4,0,1,1,0,0,0
11236,534,Hillegom,12875,11,"0,09 %",15506,12886,"83,10 %",4349,2475,3060,640,877,564,544,101,67,78,73,24,17,0,2,1,0,3,0
11297,798,Hilvarenbeek,9471,12,"0,13 %",11134,9483,"85,17 %",4313,1872,1619,603,346,345,284,6,2,14,27,22,7,6,1,4,0,0,0
11285,402,Hilversum,51775,40,"0,08 %",63466,51815,"81,64 %",11466,13913,11588,3715,2689,3346,3176,906,263,337,184,48,69,25,18,24,0,8,0
10076,1735,Hof van Twente,23422,14,"0,06 %",26751,23436,"87,61 %",9478,5942,4652,886,745,654,710,167,31,0,82,47,12,0,6,10,0,0,0
10839,118,Hoogeveen,33008,24,"0,07 %",40702,33032,"81,16 %",12257,10100,3719,1591,1307,1057,726,1594,343,106,142,33,19,1,8,5,0,0,0
10410,18,Hoogezand-Sappemeer,19753,14,"0,07 %",25596,19767,"77,23 %",2984,9421,2727,1385,782,858,629,645,32,95,85,25,18,32,30,0,0,5,0
11392,405,Hoorn,39810,53,"0,13 %",49944,39863,"79,82 %",8308,12233,8280,3137,2434,2375,2076,327,30,248,200,49,55,27,28,0,0,3,0
11108,1507,Horst a/d Maas,17011,9,"0,05 %",21251,17020,"80,09 %",8763,2788,2332,1343,664,478,404,31,13,56,82,24,15,6,7,5,0,0,0
10230,321,Houten,24601,23,"0,09 %",28633,24624,"86,00 %",6958,5548,5210,1321,1092,1533,1373,821,498,95,91,21,20,5,8,1,4,2,0
11170,406,Huizen,26458,37,"0,14 %",30858,26495,"85,86 %",7833,5533,6221,1215,1230,1313,1326,985,444,175,111,29,23,6,8,3,0,3,0
11408,677,Hulst,15620,8,"0,05 %",19977,15628,"78,23 %",6104,4300,2355,778,926,537,412,57,13,63,51,9,11,1,3,0,0,0,0
11235,256,Hummelo en Keppel,3136,0,"0,00 %",3544,3136,"88,49 %",1118,757,732,125,101,107,143,12,8,14,7,9,0,2,1,0,0,0,0
10784,925,Hunsel,3644,5,"0,14 %",4537,3649,"80,43 %",1844,690,520,198,143,111,82,2,2,25,16,6,3,0,1,1,0,0,0
10152,353,IJsselstein,19422,24,"0,12 %",23910,19446,"81,33 %",5291,4815,4548,1064,1063,892,957,276,235,84,114,43,9,6,5,12,4,4,0
10461,645,Jacobswoude,7032,8,"0,11 %",8056,7040,"87,39 %",2813,1086,1580,303,475,239,318,63,57,46,27,13,6,1,0,3,1,1,0
10253,166,Kampen,30514,31,"0,10 %",35479,30545,"86,09 %",11702,6541,2619,1248,935,1147,546,3148,2487,0,84,30,17,0,7,3,0,0,0
11223,678,Kapelle,7474,5,"0,07 %",8586,7479,"87,11 %",2969,1361,1153,238,325,237,190,248,689,29,19,6,10,0,0,0,0,0,0
10707,537,Katwijk,25066,21,"0,08 %",30560,25087,"82,09 %",12180,3061,2867,686,1165,544,457,1436,2410,113,83,17,14,23,4,2,2,2,0
10313,928,Kerkrade,24764,24,"0,10 %",36593,24788,"67,74 %",7516,8836,2614,2305,1610,913,428,78,10,161,184,29,45,10,13,12,0,0,0
10890,929,Kessel,2644,11,"0,42 %",3205,2655,"82,84 %",1354,496,409,91,130,65,53,5,2,9,19,10,0,0,1,0,0,0,0
10916,258,Kesteren,13706,9,"0,07 %",15664,13715,"87,56 %",3606,3564,1682,327,506,210,235,401,3072,48,23,18,11,2,1,0,0,0,0
10984,79,Kollumerland en Nieuwkruisland,8240,19,"0,23 %",9946,8259,"83,04 %",3955,1961,682,379,319,239,138,376,77,41,44,14,7,0,6,0,0,2,0
10914,588,Korendijk,6998,6,"0,09 %",8164,7004,"85,79 %",1932,1362,1230,254,525,162,190,157,1078,52,24,6,7,0,1,16,0,1,1
10859,542,Krimpen aan den IJssel,18769,20,"0,11 %",21886,18789,"85,85 %",4335,4441,3373,686,1568,569,637,827,2133,89,55,18,23,3,2,4,5,1,0
10173,1659,Laarbeek,13389,9,"0,07 %",16304,13398,"82,18 %",5525,2962,2128,1002,744,429,369,24,5,66,65,48,7,1,4,5,1,4,0
10276,1685,Landerd,9382,7,"0,07 %",10972,9389,"85,57 %",4372,1766,1353,957,373,231,208,15,4,29,43,18,6,0,3,3,1,0,0
11335,882,Landgraaf,22207,19,"0,09 %",30619,22226,"72,59 %",7021,7064,2564,2389,1184,939,604,87,16,144,115,35,22,3,12,8,0,0,0
11225,415,Landsmeer,6770,6,"0,09 %",7913,6776,"85,63 %",1119,2028,1821,377,557,339,402,36,14,41,30,1,1,0,4,0,0,0,0
10955,416,Langedijk,15657,15,"0,10 %",18373,15672,"85,30 %",4846,3420,3660,833,748,833,822,285,19,68,80,19,10,4,7,0,0,3,0
10649,417,Laren,7510,4,"0,05 %",8600,7514,"87,37 %",2090,1220,2796,276,293,298,445,24,2,41,13,4,5,1,0,1,0,1,0
10604,22,Leek,12041,5,"0,04 %",14203,12046,"84,81 %",3220,4057,1757,650,449,525,367,838,59,41,50,18,5,0,4,0,0,1,0
10685,545,Leerdam,12495,16,"0,13 %",15210,12511,"82,26 %",3725,3249,1932,549,779,425,350,533,780,57,33,18,7,47,3,7,0,0,1
11142,326,Leersum,4855,4,"0,08 %",5521,4859,"88,01 %",1488,947,1238,152,231,263,212,89,198,18,8,5,3,0,0,1,0,2,0
11228,80,Leeuwarden,57074,47,"0,08 %",70999,57121,"80,45 %",11161,23252,7046,5184,2186,3848,2222,1397,74,297,224,64,49,47,19,0,0,4,0
10851,81,Leeuwarderadeel,6915,7,"0,10 %",7794,6922,"88,81 %",2119,2574,944,369,217,267,199,137,4,26,42,14,1,0,2,0,0,0,0
10702,546,Leiden,70638,119,"0,17 %",88436,70757,"80,01 %",10960,22285,12647,5559,4266,7115,5941,832,183,438,196,69,55,30,25,16,8,13,0
10058,547,Leiderdorp,16517,24,"0,15 %",19533,16541,"84,68 %",4305,3992,3964,784,948,933,1095,204,120,61,63,18,11,10,2,2,4,1,0
11103,1916,Leidschendam-Voorburg,46496,58,"0,12 %",56199,46554,"82,84 %",13073,9791,11592,2308,3427,2351,2700,427,131,362,169,35,58,19,18,16,11,8,0
11110,995,Lelystad,37072,50,"0,13 %",49913,37122,"74,37 %",6918,11173,7947,2577,3053,2163,1573,815,148,285,242,52,59,23,29,0,0,15,0
10142,82,Lemsterland,8071,3,"0,04 %",9775,8074,"82,60 %",2623,2360,1320,456,454,256,205,170,34,36,50,10,3,3,90,0,0,1,0
10978,327,Leusden,18796,12,"0,06 %",21284,18808,"88,37 %",6032,3706,4452,808,678,976,1035,737,229,50,54,18,8,1,6,3,1,2,0
10242,260,Lichtenvoorde,12217,10,"0,08 %",14218,12227,"86,00 %",6143,2418,1806,635,392,375,311,20,2,25,45,27,3,0,2,11,0,2,0
10487,1673,Liemeer,3983,3,"0,08 %",4827,3986,"82,58 %",1820,508,843,157,267,110,110,75,45,15,10,19,3,0,0,1,0,0,0
11205,694,Liesveld,6325,3,"0,05 %",6959,6328,"90,93 %",2341,1065,986,189,289,112,115,504,663,23,24,5,2,0,2,4,0,0,1
11376,733,Lingewaal,6936,3,"0,04 %",7946,6939,"87,33 %",2375,1708,1215,206,469,178,182,272,266,19,31,8,3,1,3,0,0,0,0
10744,1705,Lingewaard,26722,19,"0,07 %",32394,26741,"82,55 %",9885,7074,4630,1460,1080,1107,1108,94,15,109,92,28,28,1,7,3,0,1,0
10197,553,Lisse,14079,8,"0,06 %",16484,14087,"85,46 %",5429,2177,2991,584,871,477,565,241,593,64,61,12,8,1,2,3,0,0,0
11219,808,Lith,4179,13,"0,31 %",4977,4192,"84,23 %",1776,753,670,467,242,99,100,12,0,7,25,14,6,2,1,3,1,1,0
10422,140,Littenseradiel,6864,4,"0,06 %",7879,6868,"87,17 %",2565,1966,916,421,206,388,198,104,7,25,56,8,2,1,0,0,0,1,0
11263,262,Lochem,12901,8,"0,06 %",14946,12909,"86,37 %",3761,3937,2857,546,399,625,582,57,11,55,34,22,5,5,0,3,0,2,0
11202,329,Loenen,5603,0,"0,00 %",6268,5603,"89,39 %",1691,1044,1483,255,287,251,347,82,99,33,13,7,8,0,1,2,0,0,0
11259,809,Loon op Zand,13749,12,"0,09 %",17489,13761,"78,68 %",5348,3023,2568,877,720,477,441,48,71,61,65,28,8,2,2,4,3,3,0
10333,331,Lopik,8635,8,"0,09 %",9896,8643,"87,34 %",3862,1248,1295,289,555,209,163,444,488,27,41,8,4,1,1,0,0,0,0
10934,24,Loppersum,7193,5,"0,07 %",8296,7198,"86,76 %",2332,2349,745,364,231,399,183,444,77,25,25,9,5,0,5,0,0,0,0
11166,168,Losser,14103,7,"0,05 %",17007,14110,"82,97 %",6429,3695,1890,622,545,426,325,61,4,0,55,31,11,0,5,4,0,0,0
10392,332,Maarn,4060,3,"0,07 %",4418,4063,"91,96 %",1220,746,1151,152,167,187,231,55,112,19,10,1,6,3,0,0,0,0,0
10191,333,Maarssen,24364,25,"0,10 %",29803,24389,"81,83 %",6285,6195,5738,1322,1496,1325,1222,340,101,157,79,24,26,9,8,13,20,4,0
10964,933,Maasbracht,8249,4,"0,05 %",10711,8253,"77,05 %",3590,1767,1274,476,493,284,198,47,5,55,46,6,4,0,3,1,0,0,0
11352,934,Maasbree,7842,2,"0,03 %",9576,7844,"81,91 %",3867,1359,1271,329,391,280,230,12,7,43,30,19,1,0,0,3,0,0,0
10370,1671,Maasdonk,6991,7,"0,10 %",8421,6998,"83,10 %",3142,1204,1120,814,344,160,121,8,6,9,36,12,4,4,2,2,0,3,0
10341,263,Maasdriel,14918,6,"0,04 %",17794,14924,"83,87 %",5889,2966,2902,764,1090,435,377,85,251,59,64,21,14,0,1,0,0,0,0
10393,555,Maasland,4617,8,"0,17 %",4995,4625,"92,59 %",2358,527,867,111,326,128,122,117,27,19,9,0,1,2,2,1,0,0,0
10880,556,Maassluis,19808,17,"0,09 %",24582,19825,"80,65 %",5555,4990,3984,962,2082,648,686,455,111,119,102,21,28,42,5,8,1,3,6
10182,935,Maastricht,68405,48,"0,07 %",95131,68453,"71,96 %",18303,23218,9403,4831,3634,4607,3108,320,27,530,195,84,85,18,21,21,0,0,0
11243,936,Margraten,8714,7,"0,08 %",10164,8721,"85,80 %",4313,1797,1120,366,361,333,315,22,3,47,19,6,5,0,4,3,0,0,0
11431,25,Marum,6185,6,"0,10 %",7484,6191,"82,72 %",1868,1925,1010,295,340,199,188,244,32,29,38,12,4,0,1,0,0,0,0
11215,420,Medemblik,4532,5,"0,11 %",5794,4537,"78,31 %",1336,999,978,282,433,184,156,60,7,30,26,11,1,23,5,0,0,1,0
11416,993,Meerlo-Wanssum,4780,7,"0,15 %",5793,4787,"82,63 %",2395,918,618,283,222,167,115,3,2,14,25,11,5,0,1,1,0,0,0
10494,938,Meerssen,12585,8,"0,06 %",15590,12593,"80,78 %",5297,3032,1845,658,623,553,383,34,1,84,41,11,16,1,4,2,0,0,0
10925,941,Meijel,3543,15,"0,42 %",4449,3558,"79,97 %",1771,673,573,157,195,78,53,0,2,18,13,8,1,0,1,0,0,0,0
11144,83,Menaldumadeel,9187,5,"0,05 %",10547,9192,"87,15 %",2973,3175,1307,452,343,414,256,159,7,23,52,19,3,0,2,0,0,2,0
11282,1987,Menterwolde,7872,1,"0,01 %",9793,7873,"80,39 %",1076,3979,1042,618,348,281,211,184,19,41,28,16,8,1,18,0,0,2,0
11204,119,Meppel,19321,16,"0,08 %",23062,19337,"83,85 %",4762,6808,3483,1026,710,796,736,793,43,69,59,13,8,4,4,7,0,0,0
10122,687,Middelburg,28494,22,"0,08 %",34647,28516,"82,30 %",7901,7364,3891,1914,1186,1627,990,1314,2007,164,74,18,23,10,11,0,0,0,0
11067,559,Middelharnis,10991,12,"0,11 %",13216,11003,"83,26 %",3049,2525,1636,397,635,244,250,626,1527,46,30,11,4,0,1,0,1,2,7
10520,1731,Midden-Drenthe,21434,17,"0,08 %",24893,21451,"86,17 %",6098,7759,3700,910,815,801,643,458,58,71,79,22,14,0,6,0,0,0,0
10215,814,Mierlo,6450,4,"0,06 %",7728,6454,"83,51 %",2490,1367,1172,440,364,251,261,25,0,30,23,16,3,1,1,2,1,3,0
10535,815,Mill en Sint Hubert,7242,6,"0,08 %",8527,7248,"85,00 %",3461,1463,971,662,306,175,121,17,5,14,25,16,2,0,0,3,0,1,0
10072,265,Millingen aan de Rijn,3573,1,"0,03 %",4434,3574,"80,60 %",1020,1422,481,226,135,130,109,6,2,18,9,14,1,0,0,0,0,0,0
10046,1709,Moerdijk,22256,19,"0,09 %",28014,22275,"79,51 %",7571,5186,4379,1427,1519,745,626,350,115,125,123,49,17,12,2,9,1,0,0
10019,562,Monster,12561,14,"0,11 %",15186,12575,"82,81 %",5283,1660,2551,309,1245,320,352,298,348,80,57,15,29,0,1,6,3,3,1
10033,335,Montfoort,8663,5,"0,06 %",9731,8668,"89,08 %",3298,1350,1611,301,647,366,329,282,396,29,32,7,5,3,4,3,0,0,0
10271,944,Mook en Middelaar,5147,4,"0,08 %",6030,5151,"85,42 %",1672,1230,1038,325,218,324,275,9,2,22,24,5,1,0,0,2,0,0,0
10120,563,Moordrecht,4761,4,"0,08 %",5736,4765,"83,07 %",1286,1157,1015,188,382,168,191,108,185,35,25,7,3,2,0,7,2,0,0
10958,424,Muiden,4399,2,"0,05 %",4945,4401,"89,00 %",998,1123,1176,223,212,220,362,30,7,21,13,11,3,0,0,0,0,0,0
11418,565,Naaldwijk,18179,14,"0,08 %",21285,18193,"85,47 %",8532,2187,3891,456,1643,405,440,256,147,78,93,15,17,1,4,6,5,2,1
10187,425,Naarden,10951,2,"0,02 %",12438,10953,"88,06 %",2611,2111,3738,425,457,543,811,98,59,59,23,8,6,0,2,0,0,0,0
10050,643,Nederlek,9862,10,"0,10 %",11272,9872,"87,58 %",2289,2762,2111,407,786,300,341,193,551,60,32,12,11,0,3,2,1,1,0
10681,946,Nederweert,9816,14,"0,14 %",12303,9830,"79,90 %",4576,2039,1646,462,555,243,180,7,1,31,41,15,4,2,8,6,0,0,0
10367,266,Neede,7546,3,"0,04 %",8646,7549,"87,31 %",2519,2579,1206,300,313,227,200,124,5,28,27,13,1,0,3,1,0,0,0
10125,304,Neerijnen,7304,15,"0,21 %",8480,7319,"86,31 %",2212,1852,1360,232,381,171,157,134,734,32,21,13,3,0,2,0,0,0,0
10923,412,Niedorp,7161,4,"0,06 %",8566,7165,"83,64 %",1848,2020,1662,413,460,292,321,23,3,28,68,9,7,3,2,0,0,2,0
10374,356,Nieuwegein,37459,44,"0,12 %",47221,37503,"79,42 %",9217,10629,7758,2449,2384,2083,1747,504,134,231,197,45,27,9,11,18,11,5,0
10855,567,Nieuwerkerk aan den IJssel,13850,18,"0,13 %",16217,13868,"85,52 %",3761,2671,3513,539,1128,462,607,577,415,68,57,19,15,1,2,9,5,1,0
10728,569,Nieuwkoop,6924,4,"0,06 %",8229,6928,"84,19 %",2574,1186,1567,297,385,269,343,152,95,25,17,5,4,2,1,2,0,0,0
10547,571,Nieuw-Lekkerland,5775,3,"0,05 %",6483,5778,"89,13 %",1415,1288,525,181,272,112,77,567,1276,21,23,7,1,0,3,5,0,2,0
10768,104,Nijefurd,7261,5,"0,07 %",8341,7266,"87,11 %",3128,1729,949,386,280,327,169,155,11,25,78,11,8,0,5,0,0,0,0
10446,267,Nijkerk,23702,15,"0,06 %",27701,23717,"85,62 %",9562,3926,4076,713,1032,759,690,1423,1338,62,54,31,14,3,6,9,0,4,0
11209,268,Nijmegen,92661,152,"0,16 %",120126,92813,"77,26 %",17714,30228,11244,11412,3561,11462,5235,562,50,414,271,139,82,240,47,0,0,0,0
10250,1695,Noord-Beveland,4689,5,"0,11 %",5588,4694,"84,00 %",1659,1050,887,263,258,147,103,81,194,26,15,3,3,0,0,0,0,0,0
11020,1699,Noordenveld,20765,15,"0,07 %",24242,20780,"85,72 %",4096,7772,4252,962,875,1081,975,485,45,94,69,28,16,5,7,3,0,0,0
10924,529,Noorder-Koggenland,6723,7,"0,10 %",7893,6730,"85,27 %",1704,1601,1670,402,458,324,287,99,72,49,38,8,8,0,2,0,0,1,0
10144,171,Noordoostpolder,27340,11,"0,04 %",32124,27351,"85,14 %",11344,5657,4044,1098,1187,922,749,1531,541,89,90,27,23,17,12,0,0,9,0
10769,575,Noordwijk,15230,29,"0,19 %",18533,15259,"82,33 %",4987,2869,4011,700,1001,673,613,151,32,78,61,18,16,0,8,3,2,7,0
11134,576,Noordwijkerhout,9366,12,"0,13 %",11166,9378,"83,99 %",3714,1474,2211,438,638,369,348,39,8,49,43,14,8,1,6,2,0,4,0
10761,820,Nuenen c.a.,15274,11,"0,07 %",17574,15285,"86,98 %",5464,3004,3463,874,741,687,789,65,9,45,66,53,10,0,2,2,0,0,0
10512,302,Nunspeet,17109,14,"0,08 %",19268,17123,"88,87 %",6919,1732,2121,370,668,311,309,1446,3116,48,28,13,13,2,4,7,0,2,0
10104,951,Nuth,10495,10,"0,10 %",12752,10505,"82,38 %",4693,2587,1319,575,503,422,240,30,6,54,41,7,9,2,2,5,0,0,0
11338,429,Obdam,4211,2,"0,05 %",4880,4213,"86,33 %",1757,746,933,177,181,160,160,16,3,28,36,9,3,0,1,0,0,1,0
10287,579,Oegstgeest,13332,16,"0,12 %",15035,13348,"88,78 %",3381,2684,3895,498,529,834,1139,205,30,76,38,5,5,2,2,3,1,5,0
10225,823,Oirschot,11234,22,"0,20 %",13449,11256,"83,69 %",5428,2075,1878,628,539,282,274,11,7,33,31,39,2,2,1,0,3,1,0
10103,824,Oisterwijk,16104,7,"0,04 %",19405,16111,"83,02 %",6290,3389,3247,1034,643,657,631,52,8,42,60,19,22,0,0,7,0,3,0
11106,269,Oldebroek,14153,5,"0,04 %",16717,14158,"84,69 %",5888,2389,1181,315,450,187,167,1847,1655,26,25,15,3,1,1,3,0,0,0
11100,173,Oldenzaal,20192,32,"0,16 %",23820,20224,"84,90 %",8278,5169,3195,1171,696,859,650,72,5,0,56,27,4,0,7,3,0,0,0
10409,1773,Olst-Wijhe,11013,8,"0,07 %",12759,11021,"86,38 %",4151,3436,1619,463,356,467,299,113,38,0,38,17,7,0,6,3,0,0,0
11069,175,Ommen,11326,10,"0,09 %",12803,11336,"88,54 %",5527,1771,1454,365,333,308,288,1127,107,0,23,12,3,0,5,3,0,0,0
10492,881,Onderbanken,4977,7,"0,14 %",6365,4984,"78,30 %",1964,1384,611,364,271,190,111,19,1,30,18,7,4,1,1,1,0,0,0
11280,826,Oosterhout,31435,34,"0,11 %",39952,31469,"78,77 %",8916,8601,6678,2144,1818,1303,1367,110,14,152,143,55,34,82,6,4,2,6,0
10714,580,Oostflakkee,6445,7,"0,11 %",7859,6452,"82,10 %",1980,1836,859,236,415,132,151,250,496,43,33,2,4,1,1,4,1,0,1
10836,85,Ooststellingwerf,16803,29,"0,17 %",20224,16832,"83,23 %",4420,6467,2418,914,703,762,409,417,60,90,88,28,12,3,8,0,0,4,0
11303,431,Oostzaan,5827,6,"0,10 %",6900,5833,"84,54 %",991,1660,1603,318,503,305,273,53,17,48,40,3,9,0,3,0,0,1,0
10609,432,Opmeer,7032,5,"0,07 %",8272,7037,"85,07 %",2783,1395,1517,313,394,263,240,26,7,28,41,15,5,0,1,0,0,4,0
10005,86,Opsterland,18465,9,"0,05 %",21709,18474,"85,10 %",4864,6748,2471,1096,610,873,527,964,107,38,96,28,13,1,28,0,0,1,0
10834,828,Oss,44680,43,"0,10 %",57061,44723,"78,38 %",13103,9551,7277,9167,1797,1465,1466,134,22,149,175,97,25,217,12,16,3,4,0
11301,584,Oud-Beijerland,14589,13,"0,09 %",17241,14602,"84,69 %",3996,3164,3047,580,1042,495,545,392,1130,81,69,9,24,0,3,7,0,0,5
10998,437,Ouder-Amstel,8439,7,"0,08 %",9838,8446,"85,85 %",2302,1932,2081,431,431,456,595,66,47,54,25,10,5,0,0,3,0,1,0
10095,644,Ouderkerk,5246,6,"0,11 %",6028,5252,"87,13 %",1520,1129,908,146,293,121,132,294,641,25,19,3,8,0,1,5,0,1,0
10188,589,Oudewater,6329,12,"0,19 %",7317,6341,"86,66 %",2912,930,1127,214,396,173,185,191,143,22,20,6,4,0,1,4,0,1,0
11188,1734,Overbetuwe,25023,16,"0,06 %",30180,25039,"82,97 %",8888,6254,4208,1371,962,1131,1091,398,471,82,91,32,29,2,5,6,0,2,0
10427,590,Papendrecht,19081,13,"0,07 %",23020,19094,"82,95 %",5515,4672,3840,804,1379,602,658,736,638,80,88,16,26,2,9,8,0,2,6
10848,765,Pekela,7976,10,"0,13 %",10287,7986,"77,63 %",1308,4312,663,542,301,444,127,156,13,28,33,15,7,0,26,0,0,1,0
10031,1926,Pijnacker-Nootdorp,21875,34,"0,16 %",25262,21909,"86,73 %",8095,3658,5152,741,1423,912,1067,339,196,112,121,15,21,1,4,8,8,2,0
