Amsterdamse code,CBS code,Naam,# geldige stemmen,# ongeldige/blanco stemmen,Percentage ongeldige/blanco stemmen,# kiesgerechtigden,Opkomst,Opkomstpercentage,CDA,PvdA,VVD,SP,LPF,GL,D66,CU,SGP,PvdD,LN,Partij van de Toekomst,Lijst Ratelband,Duurzaam Nederland,Nieuwe Communistische Partij,De Conservatieven.nl,VIP Vooruitstrevende Integratie Partij,Alliantie Vernieuwing en Democratie,Lijst Veldhoen
10202,885,Arcen en Velden,5483,2,"0,04 %",6636,5485,"82,66 %",2795,1026,797,254,236,177,138,8,0,21,24,3,2,0,1,1,0,0,0
10795,202,Arnhem,79845,266,"0,33 %",106866,80111,"74,96 %",15041,27503,12627,7646,3541,6965,4054,1079,86,520,239,111,203,145,34,30,0,21,0
10522,106,Assen,37656,28,"0,07 %",45672,37684,"82,51 %",7446,14440,5630,2380,1297,2115,1417,2442,101,154,104,32,31,37,13,17,0,0,0
10478,743,Asten,10166,26,"0,26 %",11994,10192,"84,98 %",4772,1851,1573,668,524,340,280,22,5,37,49,32,8,1,2,1,1,0,0
10060,744,Baarle Nassau,3953,1,"0,03 %",4951,3954,"79,86 %",1877,704,696,214,210,110,76,8,3,22,16,9,4,1,1,1,0,1,0
11411,308,Baarn,15385,20,"0,13 %",18341,15405,"83,99 %",4119,3476,3836,828,792,880,765,392,101,91,51,16,18,4,5,7,0,4,0
10943,489,Barendrecht,22353,21,"0,09 %",26246,22374,"85,25 %",6245,4536,5117,824,2207,740,836,587,972,97,100,19,38,6,8,11,6,0,4
10906,203,Barneveld,30545,11,"0,04 %",34352,30556,"88,95 %",13322,2958,3761,654,1413,539,460,2110,5126,63,78,27,11,12,4,5,0,2,0
11030,144,Bathmen,3725,5,"0,13 %",4095,3730,"91,09 %",1214,997,956,112,131,135,148,7,1,0,9,13,1,0,1,0,0,0,0
10425,5,Bedum,7197,3,"0,04 %",8090,7200,"89,00 %",2691,1951,675,361,172,301,237,716,45,23,17,4,2,0,0,0,0,2,0
11374,888,Beek,10582,9,"0,09 %",13111,10591,"80,78 %",4366,2539,1621,570,537,449,318,33,6,52,54,20,11,2,3,1,0,0,0
10816,370,Beemster,5602,15,"0,27 %",6453,5617,"87,04 %",1582,1311,1532,250,332,237,268,18,2,36,24,4,3,0,3,0,0,0,0
10195,889,Beesel,7536,7,"0,09 %",10141,7543,"74,38 %",3031,1877,1138,398,472,282,197,21,3,61,33,10,4,0,5,4,0,0,0
10340,7,Bellingwedde,6006,7,"0,12 %",7532,6013,"79,83 %",867,3047,796,347,345,257,138,94,12,45,23,7,4,0,22,0,0,2,0
10734,372,Bennebroek,3637,1,"0,03 %",4130,3638,"88,09 %",1208,599,1165,106,125,160,224,18,6,15,5,2,3,0,1,0,0,0,0
10962,491,Bergambacht,6150,1,"0,02 %",6860,6151,"89,66 %",1638,1512,1212,159,383,140,197,218,632,31,15,5,5,0,2,1,0,0,0
11160,1724,Bergeijk,11348,16,"0,14 %",13484,11364,"84,28 %",5462,1916,1987,653,617,299,250,33,8,41,52,18,6,0,2,3,0,1,0
11281,893,Bergen  (L),7782,6,"0,08 %",10047,7788,"77,52 %",3637,1763,1057,427,413,226,156,6,2,41,30,16,4,0,0,4,0,0,0
11424,373,Bergen (NH),20856,17,"0,08 %",24402,20873,"85,54 %",5269,4792,5480,1126,1222,1343,1250,74,12,125,108,19,18,1,13,0,0,4,0
11037,748,Bergen op Zoom,36269,39,"0,11 %",48417,36308,"74,99 %",10117,9267,7951,2264,2687,1645,1530,207,28,178,185,62,52,50,18,10,8,10,0
10350,207,Bergh,11060,8,"0,07 %",14069,11068,"78,67 %",4476,3105,1676,542,513,323,266,24,8,45,38,23,7,1,5,6,0,2,0
10445,492,Bergschenhoek,9254,7,"0,08 %",10769,9261,"86,00 %",2983,1422,2661,266,828,282,358,280,48,48,35,10,17,4,3,2,5,2,0
10139,493,Berkel en Rodenrijs,10977,8,"0,07 %",12564,10985,"87,43 %",4164,1585,2359,351,798,375,422,708,78,44,46,10,17,8,0,10,1,1,0
10149,1721,Bernheze,17589,19,"0,11 %",21374,17608,"82,38 %",8041,3111,2652,1995,633,539,427,23,7,34,61,38,9,5,4,6,1,3,0
10316,568,Bernisse,8240,9,"0,11 %",9825,8249,"83,96 %",2488,1746,1988,339,768,246,320,125,91,62,45,11,5,0,1,3,0,0,2
10442,753,Best,16991,21,"0,12 %",20768,17012,"81,91 %",5743,3965,3562,1070,861,628,676,212,22,61,76,78,12,16,4,1,2,2,0
10417,209,Beuningen,15086,11,"0,07 %",18609,15097,"81,13 %",4669,4329,2841,1068,686,681,585,57,11,54,66,21,10,6,2,0,0,0,0
10272,375,Beverwijk,21421,19,"0,09 %",27551,21440,"77,82 %",5185,6863,3832,1448,1603,1095,852,132,19,165,121,31,34,15,12,7,0,7,0
10222,585,Binnenmaas,12890,20,"0,16 %",14997,12910,"86,08 %",3609,2852,3036,491,1079,366,451,222,646,62,47,4,16,0,1,6,0,1,1
11006,1728,Bladel,11570,13,"0,11 %",14349,11583,"80,72 %",5459,2050,1826,769,588,366,324,25,3,32,82,34,6,0,0,4,1,1,0
10493,376,Blaricum,6501,4,"0,06 %",7223,6505,"90,06 %",1697,1187,2247,284,281,278,419,40,8,31,18,2,5,0,1,2,0,1,0
10994,495,Bleiswijk,6469,4,"0,06 %",7372,6473,"87,81 %",2434,945,1597,179,542,171,223,213,86,22,36,5,9,1,0,5,0,1,0
10850,377,Bloemendaal,11455,6,"0,05 %",12618,11461,"90,83 %",2719,1794,4450,329,366,634,954,74,12,75,21,14,9,1,2,0,0,1,0
10815,55,Boarnsterhim,12619,9,"0,07 %",14421,12628,"87,57 %",2724,5180,2343,688,362,618,442,94,25,36,74,22,5,2,2,0,0,2,0
11091,497,Bodegraven,11984,13,"0,11 %",14172,11997,"84,65 %",4549,2141,2261,454,649,361,362,513,590,43,35,9,7,0,5,4,0,1,0
10432,755,Boekel,5734,9,"0,16 %",6892,5743,"83,33 %",3072,866,655,491,318,143,120,8,3,15,26,9,2,0,1,3,1,1,0
10865,64,Bolsward,5886,5,"0,08 %",7071,5891,"83,31 %",2233,1826,655,401,201,236,137,100,15,25,35,10,8,0,2,0,0,2,0
11307,211,Borculo,6982,4,"0,06 %",7926,6986,"88,14 %",1861,2302,1773,309,190,254,181,46,4,27,19,7,1,1,2,5,0,0,0
10448,1681,Borger-Odoorn,16895,13,"0,08 %",20395,16908,"82,90 %",3645,7121,2860,868,684,600,565,346,34,70,64,21,7,1,9,0,0,0,0
10326,147,Borne,13206,11,"0,08 %",15313,13217,"86,31 %",5384,3598,2096,656,378,473,460,89,5,0,38,13,8,0,4,4,0,0,0
10043,654,Borsele,13862,16,"0,12 %",16480,13878,"84,21 %",5376,2441,1853,619,628,420,302,290,1772,79,47,17,10,3,5,0,0,0,0
10419,499,Boskoop,9623,6,"0,06 %",11176,9629,"86,16 %",3582,1552,2110,380,604,386,345,266,301,38,38,7,7,3,2,2,0,0,0
11227,756,Boxmeer,18485,27,"0,15 %",21757,18512,"85,09 %",7858,3877,2639,1902,817,666,500,53,4,59,66,17,5,5,6,7,0,4,0
10083,757,Boxtel,17463,13,"0,07 %",22379,17476,"78,09 %",5965,4549,2674,1737,748,828,697,56,10,68,59,41,16,3,2,6,2,2,0
10154,758,Breda,94535,91,"0,10 %",124996,94626,"75,70 %",24714,24824,20316,7503,4945,5568,4904,460,81,441,374,167,84,65,22,30,21,16,0
10807,311,Breukelen,9402,5,"0,05 %",10726,9407,"87,70 %",3175,1599,2155,364,411,442,460,267,436,44,29,8,7,0,1,3,0,1,0
10232,501,Brielle,10195,21,"0,21 %",12346,10216,"82,75 %",2271,2507,2863,512,965,360,433,79,23,86,49,13,14,0,6,10,1,2,1
10798,213,Brummen,13645,11,"0,08 %",16325,13656,"83,65 %",3452,4993,2665,687,539,564,483,81,30,51,43,17,11,8,18,0,0,3,0
10533,899,Brunssum,16966,14,"0,08 %",23351,16980,"72,72 %",5071,5733,1913,1751,997,632,392,166,12,137,90,27,25,0,15,5,0,0,0
10820,312,Bunnik,9609,13,"0,14 %",10567,9622,"91,06 %",3216,2045,1973,493,367,710,554,85,93,36,26,4,3,1,2,1,0,0,0
11343,313,Bunschoten,12306,7,"0,06 %",13790,12313,"89,29 %",6455,716,896,166,394,152,131,3100,233,22,17,9,5,1,1,1,3,4,0
11286,214,Buren,16543,11,"0,07 %",19467,16554,"85,04 %",4343,4536,3916,628,1016,475,591,219,651,74,55,22,9,1,7,0,0,0,0
10281,381,Bussum,19814,23,"0,12 %",23664,19837,"83,83 %",4801,4387,5533,1036,936,1138,1449,223,60,115,76,29,16,4,7,4,0,0,0
11248,502,Capelle a/d IJssel,38857,60,"0,15 %",49483,38917,"78,65 %",8565,10240,7716,1866,4045,1405,1497,1013,1862,303,179,40,55,11,16,25,13,6,0
11287,383,Castricum,23719,14,"0,06 %",26898,23733,"88,23 %",6857,5524,5546,1287,1076,1546,1474,113,17,125,96,25,28,1,3,0,0,1,0
10383,109,Coevorden,22898,20,"0,09 %",27388,22918,"83,68 %",6187,8670,4264,988,861,740,663,272,55,80,68,25,11,0,9,5,0,0,0
10219,1706,Cranendonck,12266,16,"0,13 %",15326,12282,"80,14 %",5370,2415,2144,689,763,296,357,49,5,47,80,39,3,0,4,2,1,2,0
11346,611,Cromstrijen,8580,5,"0,06 %",10069,8585,"85,26 %",2342,2169,1956,327,615,238,253,131,448,48,33,4,6,0,1,7,2,0,0
10023,1684,Cuijk,14522,13,"0,09 %",17985,14535,"80,82 %",4914,3910,2205,1263,795,681,484,28,6,69,73,26,8,49,5,2,2,2,0
10342,216,Culemborg,15059,15,"0,10 %",18608,15074,"81,01 %",3521,4196,3044,1165,947,1017,676,180,115,74,58,33,15,12,6,0,0,0,0
11007,148,Dalfsen,17275,13,"0,08 %",19562,17288,"88,38 %",8497,3234,2045,550,485,424,366,1349,254,0,38,18,10,0,2,3,0,0,0
10650,65,Dantumadeel,12325,6,"0,05 %",14711,12331,"83,82 %",5226,3316,776,526,420,357,203,818,563,25,77,9,3,0,5,0,0,1,0
10168,310,De Bilt,28410,35,"0,12 %",32213,28445,"88,30 %",7201,5713,7287,1609,1212,1860,1937,556,738,170,69,16,18,3,4,10,2,5,0
10241,552,De Lier,7041,11,"0,16 %",8084,7052,"87,23 %",3865,689,1347,173,477,160,142,117,12,26,21,3,6,0,2,1,0,0,0
10180,1663,De Marne,7118,3,"0,04 %",8455,7121,"84,22 %",1912,2378,921,480,269,307,168,573,20,50,16,15,5,0,3,0,0,1,0
11379,736,De Ronde Venen,21717,11,"0,05 %",25442,21728,"85,40 %",8084,3265,5675,843,1280,715,828,485,281,94,98,40,16,5,1,5,0,2,0
10262,1690,De Wolden,15684,4,"0,03 %",18108,15688,"86,64 %",4726,4348,3784,563,698,537,506,314,45,53,64,29,9,1,5,2,0,0,0
10928,503,Delft,58676,161,"0,27 %",72545,58837,"81,10 %",11629,17275,10420,4233,3834,5029,4012,971,299,371,224,52,81,144,33,31,18,13,7
10976,10,Delfzijl,17200,9,"0,05 %",22204,17209,"77,50 %",3918,7598,2243,933,738,534,443,566,19,80,69,15,13,10,20,0,0,1,0
11434,518,Den Haag,252929,578,"0,23 %",358076,253507,"70,80 %",46197,73502,56995,14754,21449,17064,14208,2796,1158,2245,850,199,343,414,143,0,533,30,49
10285,400,Den Helder,33824,22,"0,07 %",45725,33846,"74,02 %",7794,9209,8814,1427,2472,1350,1262,755,146,272,212,51,35,8,11,0,0,6,0
10379,762,Deurne,19325,26,"0,13 %",24078,19351,"80,37 %",8804,3785,2862,1413,985,652,488,48,13,77,120,56,6,3,2,6,1,4,0
10899,150,Deventer,51892,38,"0,07 %",64415,51930,"80,62 %",10947,19991,8114,3545,1869,3811,2435,777,65,0,202,62,31,0,24,19,0,0,0
10153,218,Didam,10485,5,"0,05 %",12815,10490,"81,86 %",4413,2932,1363,513,544,327,244,30,3,44,47,11,11,1,0,1,0,1,0
11039,384,Diemen,13833,16,"0,12 %",17646,13849,"78,48 %",2368,4175,3179,915,1105,930,797,119,9,86,87,20,18,10,11,3,0,1,0
10245,1774,Dinkelland,17117,6,"0,04 %",19229,17123,"89,05 %",11008,2436,2063,434,431,355,282,35,1,0,35,22,5,0,5,5,0,0,0
11154,219,Dinxperlo,5104,1,"0,02 %",6410,5105,"79,64 %",2393,1385,581,229,157,148,97,66,3,16,14,8,5,2,0,0,0,0,0
11344,504,Dirksland,5253,4,"0,08 %",6158,5257,"85,37 %",1481,1056,696,195,341,87,95,237,997,41,20,4,0,0,2,0,0,1,0
10327,221,Doesburg,6818,19,"0,28 %",8463,6837,"80,79 %",1537,2332,1046,867,302,262,282,88,13,36,23,16,6,5,1,0,0,2,0
10396,222,Doetinchem,29668,18,"0,06 %",36754,29686,"80,77 %",8235,9733,5069,1818,1110,1596,1103,411,238,139,108,44,23,28,6,6,0,1,0
